,word_vector,class_o,class_c,class_e,class_a,class_n
10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 2, 2, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 4, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 2, 2, 3, 0, 0, 3, 0, 0, 0, 1, 0, 3]",1,1,0,1,0
11,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 1, 0, 2, 1, 3, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 2, 1, 2, 4, 0, 2, 0, 0, 1, 0, 2, 0, 1, 2, 0, 0, 1, 3, 1, 1, 2, 1, 2, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 4, 1, 0, 2, 1, 0, 1, 0, 3, 2, 1, 1, 0, 3, 0, 4, 1, 3, 0, 0, 0, 0, 0, 2, 0, 6, 1, 2, 0, 1, 0, 4, 2, 0, 1, 1, 1, 1, 3, 0, 0, 2, 2, 2, 0, 0, 1, 3, 0, 3, 0, 1, 1, 5, 2, 2, 2, 2, 1, 1, 6, 0, 0, 0, 1, 0, 0, 1, 1, 4, 0, 0, 1, 2, 2, 1, 6, 1, 0, 5, 6, 3, 6, 1, 2, 6, 0, 1, 3, 1, 5, 2, 0, 0, 2, 1, 4, 5, 1, 5, 2, 2, 4, 7, 6, 3, 6, 4, 2, 2, 4, 6, 4, 9, 2, 3, 3, 0, 5, 5, 6, 11, 12, 4, 4, 15, 33]",1,0,0,1,0
12,"[0, 0, 0, 10, 2, 0, 0, 0, 2, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 6, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 7, 1, 0, 1, 2, 0, 0, 0, 0, 4, 1, 0, 2, 0, 0, 3, 1, 0, 0, 0, 0, 2, 0, 2, 0, 0, 1, 0, 0, 4, 2, 0, 0, 3, 2, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 1, 3, 0, 1, 3, 1, 0, 1, 0, 1, 0, 2, 0, 2, 2, 0, 1, 0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 5, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2, 0, 1, 2, 0, 2, 0, 0, 0, 0, 2, 0, 2, 1, 1, 3, 1, 0, 2, 1, 2, 4, 1, 7, 2, 11, 6, 0, 4, 3, 0, 0, 2, 0, 0, 4, 8, 2, 2, 7, 5, 2, 5, 7, 6, 7, 8, 14]",1,1,1,0,1
13,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 2, 0, 0, 1, 0, 0, 0, 2, 0, 1, 2, 0, 3, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 9, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 2, 0, 2, 0, 0, 2, 2, 6, 1, 8, 0, 2, 0, 0, 2, 0, 3, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 1, 4, 3, 1, 6, 0, 1, 0, 0, 0, 1, 2, 4, 1, 3, 0, 0, 1, 2, 2, 4, 0, 0, 0, 0, 2, 1, 1, 4, 0, 3, 4, 1, 1, 0, 2, 1, 1, 0, 0, 0, 0, 2, 2, 2, 4, 1, 3, 3, 2, 0, 0, 3, 1, 2, 0, 6, 5, 0, 0, 1, 1, 0, 2, 1, 1, 2, 2, 3, 0, 2, 1, 4, 0, 1, 5, 0, 11, 4, 2, 1, 2, 4, 1, 4, 8, 8, 4, 1, 1, 4, 5, 0, 5, 5, 3, 6, 1, 0, 3, 5, 8, 3, 13, 8, 2, 2, 1, 10, 8, 2]",1,1,1,1,0
14,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 2, 2, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 3, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 2, 2, 0, 0, 0, 3, 0, 1, 0, 1, 1, 1, 1, 5, 8, 2, 1]",1,1,0,1,0
15,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 3, 1, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 1, 0, 3, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 3, 0, 0, 2, 0, 0, 0, 3, 1, 1, 1, 1, 1, 1, 0, 1, 5, 6, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0]",1,0,1,0,0
16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 2, 1, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 2, 0, 1, 0, 2, 1, 0, 0, 0, 3, 2, 1, 0, 0, 1, 0, 1, 0, 2, 0, 0, 1, 1, 2, 4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 1, 1, 4, 2, 1, 1, 2, 2, 1, 1, 2, 0, 1, 1, 3, 1, 1, 0, 0, 0, 1, 3, 3, 2, 2, 0, 0, 2, 0, 1, 0, 0, 3, 1, 2, 1, 1, 4, 0, 1, 1, 0, 2, 2, 1, 1, 0, 0, 2, 2, 1, 0, 0, 3, 3, 0, 2, 6, 2, 4, 8, 1, 0, 0, 4, 1, 5, 3]",1,0,1,0,0
17,"[0, 1, 4, 0, 3, 0, 0, 2, 4, 0, 2, 0, 0, 1, 3, 3, 1, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 3, 2, 0, 0, 0, 0, 0, 1, 1, 0, 3, 1, 0, 1, 0, 0, 0, 3, 3, 0, 0, 3, 0, 0, 0, 0, 7, 6, 4, 0, 0, 1, 3, 2, 0, 1, 2, 0, 2, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 1, 0, 0, 2, 18, 2, 1, 3, 1, 1, 0, 0, 1, 2, 1, 2, 13, 1, 0, 3, 0, 7, 0, 1, 2, 0, 4, 0, 5, 3, 7, 3, 1, 3, 1, 13, 2, 0, 1, 4, 2, 0, 0, 3, 3, 1, 1, 1, 2, 0, 3, 3, 1, 4, 2, 4, 23, 0, 0, 2, 0, 1, 1, 7, 1, 1, 0, 0, 0, 4, 0, 2, 0, 0, 6, 1, 0, 2, 1, 1, 1, 9, 0, 13, 11, 1, 5, 0, 0, 6, 0, 14, 2, 0, 4, 6, 7, 2, 2, 15, 1, 9, 0, 2, 3, 8, 12, 0, 2, 1, 13, 5, 14, 5, 4, 10, 9, 3, 18, 19, 17, 5, 17, 10]",1,1,1,1,0
18,"[6, 2, 0, 0, 3, 1, 3, 1, 2, 1, 1, 0, 0, 3, 2, 1, 0, 3, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 4, 2, 2, 2, 1, 3, 6, 3, 9, 1, 4, 3, 0, 2, 1, 2, 2, 4, 3, 1, 0, 2, 0, 2, 2, 6, 3, 0, 5, 4, 6, 2, 0, 2, 1, 5, 0, 0, 1, 9, 1, 0, 0, 4, 9, 2, 1, 0, 2, 2, 1, 2, 0, 4, 8, 1, 2, 3, 0, 0, 2, 2, 0, 6, 2, 0, 4, 2, 3, 2, 0, 0, 2, 6, 2, 5, 0, 2, 2, 1, 3, 0, 3, 1, 0, 4, 5, 0, 4, 3, 5, 1, 3, 6, 0, 0, 0, 1, 10, 4, 2, 7, 4, 10, 4, 3, 0, 2, 5, 8, 1, 0, 8, 8, 5, 1, 6, 3, 3, 4, 4, 1, 7, 8, 0, 5, 7, 3, 5, 7, 0, 10, 2, 6, 2, 13, 7, 9, 8, 2, 9, 14, 3, 10, 11, 11, 6, 6, 4, 15, 0, 3, 6, 14, 9, 7, 16, 7, 4, 0, 14, 9, 8, 16, 12, 16, 9, 9, 4, 38, 5, 37]",0,1,1,0,0
19,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 2, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 3, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 2, 0, 2, 0, 1, 2, 0, 1, 0, 1, 2, 0, 1, 1, 0, 0, 3, 0, 0, 1, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 2, 0, 2, 0, 0, 1, 3, 0, 1, 3, 1, 0, 2, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 2, 2, 1, 3, 0, 0, 1, 1, 3, 0, 2, 0, 0, 0, 3, 1, 1, 1, 1, 0, 1, 0, 4, 0, 0, 3, 2, 3, 1, 3, 1, 5, 0, 1, 0, 1, 8, 9, 2, 0, 2, 1, 2, 1, 0, 5, 0, 5, 0, 0, 1, 3, 1, 8, 8, 0, 4, 8, 12]",1,1,0,1,1
20,"[2, 8, 1, 0, 2, 2, 1, 0, 1, 0, 2, 0, 7, 2, 1, 0, 0, 0, 2, 3, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 3, 1, 4, 2, 1, 0, 0, 1, 0, 0, 0, 3, 0, 1, 1, 1, 7, 0, 3, 0, 0, 0, 0, 2, 2, 3, 0, 0, 3, 1, 0, 2, 5, 0, 2, 2, 1, 8, 2, 0, 0, 3, 3, 1, 0, 0, 3, 0, 8, 5, 4, 0, 1, 3, 2, 4, 0, 2, 3, 0, 0, 4, 0, 1, 2, 1, 2, 0, 2, 0, 1, 3, 3, 3, 4, 2, 0, 1, 0, 3, 2, 0, 1, 2, 7, 1, 1, 0, 2, 1, 1, 2, 0, 0, 0, 2, 2, 0, 2, 1, 3, 2, 0, 0, 1, 0, 0, 4, 0, 2, 2, 3, 2, 6, 5, 1, 5, 1, 2, 1, 1, 7, 1, 2, 1, 3, 1, 0, 6, 5, 5, 1, 5, 5, 2, 6, 2, 7, 1, 7, 10, 7, 1, 5, 1, 8, 5, 6, 6, 2, 2, 18, 5, 4, 11, 7, 1, 9, 14, 11, 6, 12, 11, 4, 3, 4, 14, 9, 25]",1,0,1,1,0
21,"[1, 1, 1, 0, 2, 0, 0, 0, 2, 0, 2, 2, 0, 0, 2, 0, 1, 0, 2, 0, 0, 2, 0, 0, 0, 1, 0, 1, 0, 3, 1, 0, 1, 0, 3, 0, 4, 2, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 1, 4, 0, 0, 4, 4, 1, 0, 1, 2, 1, 0, 2, 1, 1, 0, 3, 5, 0, 1, 1, 2, 2, 2, 0, 3, 5, 1, 4, 4, 0, 0, 1, 2, 1, 3, 1, 2, 1, 1, 1, 0, 2, 1, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 5, 2, 1, 0, 0, 1, 1, 0, 1, 2, 0, 1, 0, 3, 2, 1, 2, 3, 2, 2, 4, 0, 2, 2, 4, 1, 2, 0, 1, 1, 0, 1, 2, 7, 1, 2, 2, 0, 1, 2, 3, 2, 0, 3, 9, 3, 2, 1, 9, 1, 0, 4, 6, 2, 3, 1, 2, 1, 5, 0, 4, 5, 1, 4, 10, 11, 0, 0, 6, 10, 2, 7]",1,1,1,1,0
